Rango_Temperatura,Frecuencia
"(-0.5, -0.45]",0
"(-0.45, -0.4]",0
"(-0.4, -0.35]",0
"(-0.35, -0.3]",0
"(-0.3, -0.25]",0
"(-0.25, -0.2]",0
"(-0.2, -0.15]",0
"(-0.15, -0.1]",0
"(-0.1, -0.05]",0
"(-0.05, -1.11e-16]",1
"(-1.11e-16, 0.05]",1
"(0.05, 0.1]",1
"(0.1, 0.15]",2
"(0.15, 0.2]",1
"(0.2, 0.25]",1
"(0.25, 0.3]",3
"(0.3, 0.35]",0
"(0.35, 0.4]",3
"(0.4, 0.45]",1
"(0.45, 0.5]",1
"(0.5, 0.55]",3
"(0.55, 0.6]",1
"(0.6, 0.65]",1
"(0.65, 0.7]",2
"(0.7, 0.75]",4
"(0.75, 0.8]",0
"(0.8, 0.85]",1
"(0.85, 0.9]",2
"(0.9, 0.95]",1
"(0.95, 1.0]",0
"(1.0, 1.05]",0
"(1.05, 1.1]",0
"(1.1, 1.15]",0
"(1.15, 1.2]",0
"(1.2, 1.25]",0
"(1.25, 1.3]",0
"(1.3, 1.35]",0
"(1.35, 1.4]",0
"(1.4, 1.45]",0
"(1.45, 1.5]",0
